Overall: [SUCCESS: 41, SUCCESS_SYMB: 41, SUCCESS_TRANS: 220, FAILURE: 172, STARTED_TEST_CASES: 249, SKIPPED: 15, DEFINITIONS: 1, IGNORE: 48, MISSING: 27, ERROR: 9] for test expression: (#LHS)-(#RHS)
[Simple Simplify: ON, EXPonential Conversion (ConvEXP): ON, HYPergeometric Conversion (ConvHYP): ON, Expansion (EXP): ON, Expansion via EXP (EXP+EXP): ON, Expansion via HYP (EXP+HYP): ON]
7261 [http://dlmf.nist.gov/22.8.E8]: Failure [Simple: NaN, ConvEXP: NaN, ConvHYP: NaN, EXP: NaN, EXP+EXP: NaN, EXP+HYP: NaN]
7262 [http://dlmf.nist.gov/22.8.E9]: Failure [Simple: NaN, ConvEXP: NaN, ConvHYP: NaN, EXP: NaN, EXP+EXP: NaN, EXP+HYP: NaN]
7263 [http://dlmf.nist.gov/22.8.E10]: Successful [Simple: NaN, ConvEXP: NaN, ConvHYP: NaN, EXP: 0, EXP+EXP: 0, EXP+HYP: 0]
7264 [http://dlmf.nist.gov/22.8.E11]: Successful [Simple: NaN, ConvEXP: NaN, ConvHYP: NaN, EXP: 0, EXP+EXP: 0, EXP+HYP: 0]
7265 [http://dlmf.nist.gov/22.8.E12]: Successful [Simple: NaN, ConvEXP: NaN, ConvHYP: NaN, EXP: 0, EXP+EXP: 0, EXP+HYP: 0]
7266 [http://dlmf.nist.gov/22.8.E13]: Successful [Simple: NaN, ConvEXP: NaN, ConvHYP: NaN, EXP: 0, EXP+EXP: 0, EXP+HYP: 0]
7267 [http://dlmf.nist.gov/22.8.E14]: Successful [Simple: NaN, ConvEXP: NaN, ConvHYP: NaN, EXP: 0, EXP+EXP: 0, EXP+HYP: 0]
7268 [http://dlmf.nist.gov/22.8.E15]: Successful [Simple: NaN, ConvEXP: NaN, ConvHYP: NaN, EXP: 0, EXP+EXP: 0, EXP+HYP: 0]
7269 [http://dlmf.nist.gov/22.8.E16]: Successful [Simple: NaN, ConvEXP: NaN, ConvHYP: NaN, EXP: 0, EXP+EXP: 0, EXP+HYP: 0]
7270 [http://dlmf.nist.gov/22.8.E17]: Successful [Simple: NaN, ConvEXP: NaN, ConvHYP: NaN, EXP: 0, EXP+EXP: 0, EXP+HYP: 0]
