DLMF;Mathematica;DLMF-Mathematica-Comment;Mathematica-Alternatives
\Jacobielldnk@@{z}{k};JacobiDN[$0, ($1)^2];;
\Jacobiellsdk@@{z}{k};JacobiSD[$0, ($1)^2];;
\Jacobiellcdk@@{z}{k};JacobiCD[$0, ($1)^2];;
\Jacobiellsck@@{z}{k};JacobiSC[$0, ($1)^2];;
\Jacobiellnsk@@{z}{k};JacobiNS[$0, ($1)^2];;
\Jacobiellnck@@{z}{k};JacobiNC[$0, ($1)^2];;
\Jacobiellndk@@{z}{k};JacobiND[$0, ($1)^2];;
\Jacobielldsk@@{z}{k};JacobiDS[$0, ($1)^2];;
\Jacobielldck@@{z}{k};JacobiDC[$0, ($1)^2];;
\Jacobiellcsk@@{z}{k};JacobiCS[$0, ($1)^2];;
\aJacobiellsnk@@{z}{k};InverseJacobiSN[$0, ($1)^2];;
\aJacobiellcnk@@{z}{k};InverseJacobiCN[$0, ($1)^2];;
\aJacobielldnk@@{z}{k};InverseJacobiDN[$0, ($1)^2];;
\aJacobiellsdk@@{z}{k};InverseJacobiSD[$0, ($1)^2];;
\aJacobiellcdk@@{z}{k};InverseJacobiCD[$0, ($1)^2];;
\aJacobiellsck@@{z}{k};InverseJacobiSC[$0, ($1)^2];;
\aJacobiellnsk@@{z}{k};InverseJacobiNS[$0, ($1)^2];;
\aJacobiellnck@@{z}{k};InverseJacobiNC[$0, ($1)^2];;
\aJacobiellndk@@{z}{k};InverseJacobiND[$0, ($1)^2];;
\aJacobielldsk@@{z}{k};InverseJacobiDS[$0, ($1)^2];;
\aJacobielldck@@{z}{k};InverseJacobiDC[$0, ($1)^2];;
\aJacobiellcsk@@{z}{k};InverseJacobiCS[$0, ($1)^2];;
\JacobiEpsilonk@{x}{k};;;
\Jacobithetaq{j}@{z}{q};EllipticTheta[$0, $1, $2];;
\Jacobithetatau{j}@{z}{\tau};EllipticTheta[$0, $1, Exp[I*Pi*($2)]];;
\Jacobithetacombinedq{n}{m}@{z}{q};;;
\AThetaFunction@{x};;;
\JacobiZetak@{x}{k};JacobiZeta[$0, $1];;
\Jacobisym{n}{P};;;
;;;
\Kelvinber{\nu}@@{x};KelvinBer[$0, $1];;
\Kelvinbei{\nu}@@{x};KelvinBei[$0, $1];;
\Kelvinker{\nu}@@{x};KelvinKer[$0, $1];;
\Kelvinkei{\nu}@@{x};KelvinKei[$0, $1];;
;;;
\LameEc{m}{\nu}@{z}{k^2};;;
\LameEs{m}{\nu}@{z}{k^2};;;
\Lameeigvala{n}{\nu}@{k^2};;;
\Lameeigvalb{n}{\nu}@{k^2};;;
;;;
\FerrersP{\nu}@{z};LegendreP[$0, $1];;
X1:\FerrersPX\FerrersP[\mu]{\nu}@{x};LegendreP[$1, $0, $2];;
\FerrersQ{\nu}@{z};LegendreQ[$0, $1];;
X1:\FerrersQX\FerrersQ[\mu]{\nu}@{x};LegendreQ[$1, $0, $2];;
\assLegendreP{\nu}@{z};LegendreP[$0, 0, 3, $1];;
X1:\assLegendrePX\assLegendreP[\mu]{\nu}@{z};LegendreP[$1, $0, 3, $2];;
\assLegendreQ{\nu}@{z};LegendreQ[$0, 0, 3, $1];;
