Mathematica;DLMF;Number of Variables;Mathematica-DLMF-Comment;Mathematica-Constriants;Mathematica-Branch Cuts;Mathematica-Alternatives;DLMF-Alternatives;Mathematica-Link
FresnelG[$0];\auxFresnelg@{z};1;;;;;;https://reference.wolfram.com/language/ref/FresnelG.html
;;;;;;;;
Gamma[$0];\EulerGamma@{z};1;;;;;;https://reference.wolfram.com/language/ref/Gamma.html
Gamma[$0, 0, $1];\incgamma@{a}{z};3;;;;;;https://reference.wolfram.com/language/ref/Gamma.html
Gamma[$0, $1];\incGamma@{a}{z};2;;;(-\inf, 0);;;https://reference.wolfram.com/language/ref/Gamma.html
LogGamma[$0];\ln@@{\EulerGamma@{z}};1;;;(-\inf, 0);;;https://reference.wolfram.com/language/ref/LogGamma.html
PolyGamma[$0];\digamma@{z};1;;;;;;https://reference.wolfram.com/language/ref/PolyGamma.html
PolyGamma[$0, $1];\polygamma{n}@{z};2;;;;;;https://reference.wolfram.com/language/ref/PolyGamma.html
BarnesG[$0];\BarnesG@{z};1;;;;;;http://reference.wolfram.com/language/ref/BarnesG.html
GammaRegularized[$0, 0, $1];\normincGammaP@{a}{z};3;;;;;;https://reference.wolfram.com/language/ref/GammaRegularized.html
GammaRegularized[$0, $1];\normincGammaQ@{a}{z};2;;;;;;https://reference.wolfram.com/language/ref/GammaRegularized.html
;\scincgamma@{a}{z};;;;;;;
;\multivarEulerGamma{m}@{a};;;;;;;
;;;;;;;;
ArithmeticGeometricmean[$0, $1];\AGM@{a}{g};;;;;;;
;\Gausssum@{n}{\Dirichletchar};;;;;;;
;;;;;;;;
;\GoodwinStatonint@{z};;;;;;;
;;;;;;;;
HarmonicNumber[$0];\HarmonicNumber{n};;;;;;;
;\digamma@{z+1}+\EulerConstant;;;;;;;
;\sum_{k=1}^{n}\frac{1}{k^z};;;;;;;
;\sphharmonicY{l}{m}@{\theta}{\phi};;;;;;;
;\surfharmonicY{l}{m}@{\theta}{\phi};;;;;;;
;;;;;;;;
;\HeavisideH@{x};;;;;;;
;;;;;;;;
;\HeunHl@@{a}{q}{\alpha}{\beta}{\gamma}{\delta}{z};;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;\HeunHf{m}{a}{b}@@{a}{q}{\alpha}{\beta}{\gamma}{\delta}{z};;;;;;;
;;;;;;;;
Hypergeometric2F1[$0, $1, $2, $3];\hyperF@@@{a}{b}{c}{z};;;;;;;
;\genhyperOlverF{2}{1}@{a,b}{c}{z};;;;;;;
;\genhyperF{p}{q}@@@{a_1,...,a_p}{b_1,...,b_q}{z};;;;;;;
;\genhyperH{p}{q}@@@{a_1,...,a_p}{b_1,...,b_q}{z};;;;;;;
;\hyperOlverF@@@{a}{b}{c}{z};;;;;;;
;"\genhyperOlverF{p}{q}@@
{\Vector{a}}{\Vector{b}}{z}";;;;;;;
Hypergeometric1F1[$0, $1, $2];\KummerconfhyperM@{a}{b}{z};;;;;;;
HypergeometricU[$0, $1, $2];\KummerconfhyperU@{a}{b}{z};;;;;;;
;\OlverconfhyperM@{a}{b}{z};;;;;;;
;\genhyperPsimat@{a}{b}{\Matrix{T}};;;;;;;
;\LauricellaFD@{a}{b_1,...,b_n}{c}{z_1,...,z_n};;;;;;;
